,Year,State,Deceased Donors,Living Donors,Total Transplants,Kidney Transplants,Liver Transplants,Heart Transplants,Lung Transplants,Women Donors,Men Donors,Transgender Donors,Organ Donation Rate (pmp),People Pledged (NOTTO),Online Pledges (Tamil Nadu)
0,2021,Maharashtra,7,372,673,128,138,46,3,409,659,3,0.38,366649,7397
1,2021,Rajasthan,145,875,1100,391,100,2,17,443,336,3,0.7,170987,5518
2,2021,Maharashtra,199,214,219,566,312,15,16,360,186,0,1.01,113029,9553
3,2024,Telangana,155,192,344,792,335,6,14,90,16,0,0.15,426533,18491
4,2020,Rajasthan,203,375,303,590,321,17,36,455,663,3,1.8,484209,7619
5,2023,Gujarat,49,705,430,55,200,12,7,162,424,3,1.91,439686,3181
6,2020,Karnataka,241,979,623,702,104,39,13,48,550,3,0.99,11026,12469
7,2020,Delhi,236,432,910,53,371,36,48,39,344,1,0.19,230744,18420
8,2020,Karnataka,0,306,223,556,100,2,0,0,169,0,1.79,387873,16013
9,2022,Uttar Pradesh,264,623,960,654,357,19,49,129,638,4,1.95,418119,1901
10,2021,Delhi,137,67,140,540,308,46,49,239,674,5,0.78,418805,10059
11,2020,Punjab,178,279,1152,435,120,42,49,278,223,3,0.64,379218,8622
12,2021,Gujarat,146,264,446,201,281,15,17,556,401,2,1.89,265613,10073
13,2020,Delhi,89,139,553,366,179,18,22,66,360,2,0.66,348835,17408
14,2023,Kerala,122,688,1113,577,11,35,15,547,318,2,1.08,385540,12434
15,2022,Rajasthan,22,504,976,641,283,23,27,300,24,5,1.38,287844,15599
16,2024,Gujarat,187,403,954,544,249,33,48,186,661,5,1.12,387469,12117
17,2020,Rajasthan,186,648,1010,280,192,20,37,536,442,4,1.74,332086,14065
18,2023,Uttar Pradesh,11,685,773,734,261,10,19,257,383,2,1.24,211727,1222
19,2024,Uttar Pradesh,39,611,1101,268,58,39,40,171,318,0,1.63,25613,11265
20,2022,Gujarat,73,703,992,107,17,3,50,50,624,5,0.85,186868,19685
21,2021,Maharashtra,234,375,620,515,83,11,48,486,33,1,1.33,361782,16069
22,2024,Tamil Nadu,196,992,688,426,224,5,10,401,455,5,1.1,31305,11153
23,2021,Maharashtra,231,884,339,116,393,43,21,12,649,2,0.76,24846,7248
24,2021,Maharashtra,228,985,50,562,195,5,10,39,660,4,0.48,153057,10488
25,2023,Telangana,59,543,167,241,314,24,38,589,57,4,0.37,178174,15100
26,2022,Rajasthan,66,436,665,352,395,40,1,30,301,1,1.89,417213,8309
27,2022,Kerala,121,758,294,426,55,14,43,407,52,3,0.27,314023,19786
28,2023,Rajasthan,289,633,481,745,179,7,30,564,530,2,1.02,393513,13274
29,2021,Maharashtra,75,967,412,211,176,11,0,441,136,4,0.83,211258,6184
30,2020,Karnataka,176,423,111,422,86,24,12,333,419,3,0.12,461923,15941
